posicion,sufijo,descripcion
4104.19.40.990,NB01,PRIMERA CLASIFICACION 100 %.
4104.19.40.990,NB02,SEGUNDA CLASIFICACION 100 %.
4104.19.40.990,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das. Y 3ras. CLASIFICACIONES INDISTINTAMENTE."
4104.19.40.990,NB04,DE CUARTA CLASIFICACION MAYORITARIAMENTE.
4104.19.40.990,NC01,IGUALIZADOS.
4104.19.40.990,ND01,CRUPONES.
4104.19.40.990,ND02,MEDIOS CRUPONES.
4104.19.40.990,ND03,FALDA.
4104.19.40.990,ND04,CUELLO.
4104.19.40.990,ZB,CANTIDAD DE UNIDADES.
4104.19.90.000,NA01,TEï¿½IDOS.
4104.41.10.200,ZB,CANTIDAD DE UNIDADES.
4104.41.10.900,NA01,TEï¿½IDOS.
4104.41.10.900,ZB,CANTIDAD DE UNIDADES.
4104.41.20.000,NA01,ENTEROS.
4104.41.20.000,NA02,CRUPONES.
4104.41.20.000,NA03,MEDIOS CRUPONES.
4104.41.20.000,NA04,FALDA.
4104.41.20.000,NA05,CUELLO.
4104.41.20.000,NB01,SECOS CON MENOS DEL 30 % DE HUMEDAD.
4104.41.20.000,NC01,PRIMERA CLASIFICACION 100 %.
4104.41.20.000,NC02,SEGUNDA CLASIFICACION 100 %.
4104.41.20.000,NC03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das. Y 3ras. CLASIFICACIONES INDISTINTAMENTE."
4104.41.20.000,ND01,TEï¿½IDOS.
4104.41.20.000,ZB,CANTIDAD DE UNIDADES.
4104.41.30.100,NA01,ENTEROS
4104.41.30.100,NA02,CRUPONES.
4104.41.30.100,NA03,MEDIOS CRUPONES.
4104.41.30.100,NA04,FALDA.
4104.41.30.100,NA05,CUELLO.
4104.41.30.100,NB01,SECOS CON MENOS DEL 30% DE HUMEDAD
4104.41.30.100,NC01,PRIMERA CLASIFICACIï¿½N 100%
4104.41.30.100,NC02,SEGUNDA CLASIFICACIï¿½N 100%
4104.41.30.100,NC03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das."
4104.41.30.100,ZB,CANTIDAD DE UNIDADES.
4104.41.30.900,NA01,ENTEROS.
4104.41.30.900,NA02,CRUPONES.
4104.41.30.900,NA03,MEDIOS CRUPONES.
4104.41.30.900,NA04,FALDA.
4104.41.30.900,NA05,CUELLO.
4104.41.30.900,ZB,CANTIDAD DE UNIDADES.
4104.41.90.000,NA01,TEï¿½IDOS.
4104.49.10.100,ZB,CANTIDAD DE UNIDADES.
4104.49.10.200,NA01,SECOS CON MENOS DEL 30% DE HUMEDAD
4104.49.10.200,NB01,PRIMERA CLASIFICACIï¿½N 100%
4104.49.10.200,NB02,SEGUNDA CLASIFICACIï¿½N 100%
4104.49.10.200,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das."
4104.49.10.200,ZB,CANTIDAD DE UNIDADES.
4104.49.10.300,NA01,SECOS CON MENOS DEL 30% DE HUMEDAD
4104.49.10.300,NB01,PRIMERA CLASIFICACIï¿½N 100%
4104.49.10.300,NB02,SEGUNDA CLASIFICACIï¿½N 100%
4104.49.10.300,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das."
4104.49.10.300,ZB,CANTIDAD DE UNIDADES.
4104.49.10.900,NA01,SECOS CON MENOS DEL 30 % DE HUMEDAD.
4104.49.10.900,NB01,PRIMERA CLASIFICACION 100 %.
4104.49.10.900,NB02,SEGUNDA CLASIFICACION 100 %.
4104.49.10.900,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das. Y 3ras. CLASIFICACIONES INDISTINTAMENTE."
4104.49.10.900,NC01,TEï¿½IDOS.
4104.49.10.900,ZB,CANTIDAD DE UNIDADES.
4104.49.20.100,NA01,SECOS CON MENOS DEL 30% DE HUMEDAD
4104.49.20.100,NB01,PRIMERA CLASIFICACIï¿½N 100%
4104.49.20.100,NB02,SEGUNDA CLASIFICACIï¿½N 100%
4104.49.20.100,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das"
4104.49.20.100,NC01,ENTEROS.
4104.49.20.100,NC02,CRUPONES.
4104.49.20.100,NC03,MEDIOS CRUPONES.
4104.49.20.100,NC04,FALDA.
4104.49.20.100,NC05,CUELLO.
4104.49.20.100,ZB,CANTIDAD DE UNIDADES.
4104.49.20.200,NA01,SECOS CON MENOS DEL 30% DE HUMEDAD
4104.49.20.200,NB01,PRIMERA CLASIFICACIï¿½N 100%
4104.49.20.200,NB02,SEGUNDA CLASIFICACIï¿½N 100%
4104.49.20.200,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das."
4104.49.20.200,NC01,ENTEROS.
4104.49.20.200,NC02,CRUPONES.
4104.49.20.200,NC03,MEDIOS CRUPONES.
4104.49.20.200,NC04,FALDA.
4104.49.20.200,NC05,CUELLO.
4104.49.20.200,ZB,CANTIDAD DE UNIDADES.
4104.49.20.900,NA01,ENTEROS.
4104.49.20.900,NA02,CRUPONES.
4104.49.20.900,NA03,MEDIOS CRUPONES.
4104.49.20.900,NA04,FALDA.
4104.49.20.900,NA05,CUELLO.
4104.49.20.900,ZB,CANTIDAD DE UNIDADES.
4104.49.90.000,NA01,TEï¿½IDOS.
4105.30.00.000,ZA,ESPESOR EN DECIMAS DE mm.
4106.21.10.000,ZA,PORCENTAJE DE FALLAS EN LA FLOR.
4106.22.00.000,ZA,PORCENTAJE DE FALLAS EN LA FLOR.
4106.31.10.000,NA01,GRISES.
4106.31.10.000,NA02,NEGROS.
4106.31.10.000,NB01,GRANDES.
4106.31.10.000,NB02,MEDIANOS.
4106.31.10.000,NB03,CUARTOS.
4106.31.10.000,NC01,PLENA FLOR.
4106.31.90.000,NA01,GRISES.
4106.31.90.000,NA02,NEGROS.
4106.31.90.000,NB01,GRANDES.
4106.31.90.000,NB02,MEDIANOS.
4106.31.90.000,NB03,CUARTOS.
4106.31.90.000,NC01,PLENA FLOR.
4106.31.90.000,ND01,TEï¿½IDOS.
4106.32.00.000,NA01,GRISES.
4106.32.00.000,NA02,NEGROS.
4106.32.00.000,NB01,GRANDES.
4106.32.00.000,NB02,MEDIANOS.
4106.32.00.000,NB03,CUARTOS.
4106.32.00.000,NC01,PLENA FLOR.
4106.32.00.000,ND01,TEï¿½IDOS.
4106.32.00.000,NE01,CON ACABADO.
4106.32.00.000,NF01,ESTAMPADO.
4106.40.00.110,NA01,DEL GENERO TUPINAMBIS SPP.
4106.40.00.110,NB01,"ANCHO DEL CUERO MAYOR O IGUAL A 20 cm. E INFERIOR O IGUAL A 25 cm., CADA UNO."
4106.40.00.110,NB02,"ANCHO DEL CUERO MAYOR O IGUAL A 26 cm., CADA UNO."
4106.40.00.110,NC01,1ra. CALIDAD 100 %.
4106.40.00.110,NC02,1ra. CALIDAD SUPERIOR O IGUAL A 70 %.
4106.40.00.110,NC03,2da. CALIDAD 100 %.
4106.40.00.190,NA01,DEL GENERO TUPINAMBIS SPP.
4106.40.00.190,NB01,"ANCHO DEL CUERO MAYOR O IGUAL A 20 cm. E INFERIOR O IGUAL A 25 cm., CADA UNO."
4106.40.00.190,NB02,"ANCHO DEL CUERO MAYOR O IGUAL A 26 cm., CADA UNO."
4106.40.00.190,NC01,1ra. CALIDAD 100 %.
4106.40.00.190,NC02,1ra. CALIDAD SUPERIOR O IGUAL A 70 %.
4106.40.00.190,NC03,2da. CALIDAD 100 %.
4106.40.00.210,NA01,OVEROS O CASCARUDOS.
4106.40.00.210,NB02,1ra. CALIDAD SUPERIOR O IGUAL A 70 %.
4106.40.00.210,NB03,2da. CALIDAD 100 %.
4106.40.00.290,NA01,OVEROS O CASCARUDOS.
4106.40.00.290,NB02,1ra. CALIDAD SUPERIOR O IGUAL A 70 %.
4106.40.00.290,NB03,2da. CALIDAD 100 %.
4106.40.00.910,NA01,BOA AMPALAGUA.
4106.40.00.910,NA02,BOA CURIYU.
4106.40.00.910,NB02,1ra. CALIDAD SUPERIOR O IGUAL A 70 %.
4106.40.00.910,NB03,2da. CALIDAD 100 %.
4106.40.00.910,NC01,1ra. CALIDAD 100 %.
4106.40.00.990,NA01,BOA AMPALAGUA.
4106.40.00.990,NA02,BOA CURIYU.
4106.40.00.990,NB02,1ra. CALIDAD SUPERIOR O IGUAL A 70 %.
4106.40.00.990,NB03,2da. CALIDAD 100 %.
4106.91.00.900,NA01,CARPINCHO.
4106.91.00.900,NA02,ï¿½ANDU.
4106.92.00.110,NA01,TEï¿½IDOS.
4106.92.00.110,NB01,CON ACABADOS.
4106.92.00.110,NC01,ESTAMPADOS.
4106.92.00.190,NA01,TEï¿½IDOS.
4106.92.00.190,NB01,CON ACABADOS.
4106.92.00.190,NC01,ESTAMPADOS.
4106.92.00.900,NA01,CARPINCHO.
4106.92.00.900,NA02,ï¿½ANDU.
4106.92.00.900,NB01,TEï¿½IDOS.
4106.92.00.900,NC01,CON ACABADOS.
4106.92.00.900,ND01,ESTAMPADOS.
4107.11.10.000,NA01,ZONA LIMPIA.
4107.11.10.000,NA02,ZONA NORTE.
4107.11.10.000,NB01,PRIMERA CLASIFICACION 100 %.
4107.11.10.000,NB02,SEGUNDA CLASIFICACION 100 %.
4107.11.10.000,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das. Y 3ras. CLASIFICACIONES INDISTINTAMENTE."
4107.11.10.000,NB04,DE CUARTA CLASIFICACION MAYORITARIAMENTE.
4107.11.10.000,NC01,IGUALIZADOS.
4107.11.10.000,ZB,CANTIDAD DE UNIDADES.
4107.11.20.000,NA01,ZONA LIMPIA.
4107.11.20.000,NA02,ZONA NORTE.
4107.11.20.000,NB01,PRIMERA CLASIFICACION 100 %.
4107.11.20.000,NB02,SEGUNDA CLASIFICACION 100 %.
4107.11.20.000,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das. Y 3ras. CLASIFICACIONES INDISTINTAMENTE."
4107.11.20.000,NB04,DE CUARTA CLASIFICACION MAYORITARIAMENTE.
4107.11.20.000,NC01,IGUALIZADOS.
4107.11.20.000,ZB,CANTIDAD DE UNIDADES.
4107.11.90.000,NA01,TEï¿½IDOS.
4107.12.10.000,NA01,ZONA LIMPIA.
4107.12.10.000,NA02,ZONA NORTE.
4107.12.10.000,NB01,PRIMERA CLASIFICACION 100 %.
4107.12.10.000,NB02,SEGUNDA CLASIFICACION 100 %.
4107.12.10.000,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das. Y 3ras. CLASIFICACIONES INDISTINTAMENTE."
4107.12.10.000,NB04,DE CUARTA CLASIFICACION MAYORITARIAMENTE.
4107.12.10.000,NC01,IGUALIZADOS.
4107.12.10.000,ZB,CANTIDAD DE UNIDADES.
4107.12.20.000,NA01,ZONA LIMPIA.
4107.12.20.000,NA02,ZONA NORTE.
4107.12.20.000,NB01,PRIMERA CLASIFICACION 100 %.
4107.12.20.000,NB02,SEGUNDA CLASIFICACION 100 %.
4107.12.20.000,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das. Y 3ras. CLASIFICACIONES INDISTINTAMENTE."
4107.12.20.000,NB04,DE CUARTA CLASIFICACION MAYORITARIAMENTE.
4107.12.20.000,NC01,IGUALIZADOS.
4107.12.20.000,ZB,CANTIDAD DE UNIDADES.
4107.12.90.000,NA01,TEï¿½IDOS.
4107.19.10.000,NA01,ZONA LIMPIA.
4107.19.10.000,NA02,ZONA NORTE.
4107.19.10.000,NB01,PRIMERA CLASIFICACION 100 %.
4107.19.10.000,NB02,SEGUNDA CLASIFICACION 100 %.
4107.19.10.000,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das. Y 3ras. CLASIFICACIONES INDISTINTAMENTE."
4107.19.10.000,NB04,DE CUARTA CLASIFICACION MAYORITARIAMENTE.
4107.19.10.000,NC01,IGUALIZADOS.
4107.19.10.000,ZB,CANTIDAD DE UNIDADES.
4107.19.20.000,NA01,ZONA LIMPIA.
4107.19.20.000,NA02,ZONA NORTE.
4107.19.20.000,NB01,PRIMERA CLASIFICACION 100 %.
4107.19.20.000,NB02,SEGUNDA CLASIFICACION 100 %.
4107.19.20.000,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das. Y 3ras. CLASIFICACIONES INDISTINTAMENTE."
4107.19.20.000,NB04,DE CUARTA CLASIFICACION MAYORITARIAMENTE.
4107.19.20.000,NC01,IGUALIZADOS.
4107.19.20.000,ZB,CANTIDAD DE UNIDADES.
4107.19.90.000,NA01,TEï¿½IDOS.
4107.91.10.000,NA01,ZONA LIMPIA.
4107.91.10.000,NA02,ZONA NORTE.
4107.91.10.000,NB01,PRIMERA CLASIFICACION 100 %.
4107.91.10.000,NB02,SEGUNDA CLASIFICACION 100 %.
4107.91.10.000,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das. Y 3ras. CLASIFICACIONES INDISTINTAMENTE."
4107.91.10.000,NB04,DE CUARTA CLASIFICACION MAYORITARIAMENTE.
4107.91.10.000,NC01,IGUALIZADOS.
4107.91.10.000,ND01,CRUPONES.
4107.91.10.000,ND02,MEDIOS CRUPONES.
4107.91.10.000,ND03,FALDA.
4107.91.10.000,ND04,CUELLO.
4107.91.10.000,ZB,CANTIDAD DE UNIDADES.
4107.91.90.000,NA01,ZONA LIMPIA.
4107.91.90.000,NA02,ZONA NORTE.
4107.91.90.000,NB01,PRIMERA CLASIFICACION 100 %.
4107.91.90.000,NB02,SEGUNDA CLASIFICACION 100 %.
4107.91.90.000,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das. Y 3ras. CLASIFICACIONES INDISTINTAMENTE."
4107.91.90.000,NB04,DE CUARTA CLASIFICACION MAYORITARIAMENTE.
4107.91.90.000,NC01,IGUALIZADOS.
4107.92.10.000,NA01,ZONA LIMPIA.
4107.92.10.000,NA02,ZONA NORTE.
4107.92.10.000,NB01,PRIMERA CLASIFICACION 100 %.
4107.92.10.000,NB02,SEGUNDA CLASIFICACION 100 %.
4107.92.10.000,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das. Y 3ras. CLASIFICACIONES INDISTINTAMENTE."
4107.92.10.000,NB04,DE CUARTA CLASIFICACION MAYORITARIAMENTE.
4107.92.10.000,NC01,CRUPONES.
4107.92.10.000,NC02,MEDIOS CRUPONES.
4107.92.10.000,NC03,FALDA.
4107.92.10.000,NC04,CUELLO.
4107.92.10.000,ZB,CANTIDAD DE UNIDADES.
4107.92.90.000,NA01,ZONA LIMPIA.
4107.92.90.000,NA02,ZONA NORTE.
4107.92.90.000,NB01,PRIMERA CLASIFICACION 100 %.
4107.92.90.000,NB02,SEGUNDA CLASIFICACION 100 %.
4107.92.90.000,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das. Y 3ras. CLASIFICACIONES INDISTINTAMENTE."
4107.92.90.000,NB04,DE CUARTA CLASIFICACION MAYORITARIAMENTE.
4107.99.10.000,NA01,ZONA LIMPIA.
4107.99.10.000,NA02,ZONA NORTE.
4107.99.10.000,NB01,PRIMERA CLASIFICACION 100 %.
4107.99.10.000,NB02,SEGUNDA CLASIFICACION 100 %.
4107.99.10.000,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das. Y 3ras. CLASIFICACIONES INDISTINTAMENTE."
4107.99.10.000,NB04,DE CUARTA CLASIFICACION MAYORITARIAMENTE.
4107.99.10.000,NC01,CRUPONES.
4107.99.10.000,NC02,MEDIOS CRUPONES.
4107.99.10.000,NC03,FALDA.
4107.99.10.000,NC04,CUELLO.
4107.99.10.000,ZB,CANTIDAD DE UNIDADES.
4107.99.90.000,NA01,ZONA LIMPIA.
4107.99.90.000,NA02,ZONA NORTE.
4107.99.90.000,NB01,PRIMERA CLASIFICACION 100 %.
4107.99.90.000,NB02,SEGUNDA CLASIFICACION 100 %.
4107.99.90.000,NB03,"QUE CONT. MAYORITARIAMENTE COMBINACIONES DE 1ras., 2das. Y 3ras. CLASIFICACIONES INDISTINTAMENTE."
4107.99.90.000,NB04,DE CUARTA CLASIFICACION MAYORITARIAMENTE.
4112.00.00.000,NA01,ENTEROS.
4112.00.00.000,NA02,LADOS.
4112.00.00.000,NA03,CULATAS.
4112.00.00.000,NA04,CRUPONES.
4112.00.00.000,NB01,APERGAMINADOS.
4113.20.00.000,NA01,GRISES.
4113.20.00.000,NA02,NEGROS.
4113.20.00.000,NB01,APERGAMINADOS.
4113.20.00.000,NC01,ENTEROS.
4113.20.00.000,NC02,LADOS.
4113.20.00.000,NC03,CULATAS.
4113.20.00.000,ND01,PLENA FLOR.
4113.30.00.000,NA01,LAGARTO.
4113.30.00.000,NA02,YACARE.
4113.30.00.000,NA03,BOA AMPALAGUA.
4113.30.00.000,NA04,BOA CURIYU.
4113.30.00.000,NB02,1ra. CALIDAD SUPERIOR O IGUAL A 70 %.
4113.30.00.000,NB03,2da. CALIDAD 100 %.
4113.90.00.900,NA01,CARPINCHO.
4113.90.00.900,NA02,ï¿½ANDU.
4114.10.00.110,NA01,ENTEROS.
4114.10.00.190,NA01,ENTEROS.
4114.10.00.900,NA01,BOVINOS.
4114.10.00.900,NA02,CARPINCHO.
4114.10.00.900,NA03,PECOSI.
4114.10.00.900,NB01,ENTEROS.
4114.10.00.900,NB02,LADOS.
4114.10.00.900,NB03,CULATAS.
4114.10.00.900,NB04,CUPRONES.
4114.20.10.000,NA01,BARNIZADOS.
4114.20.10.000,NA02,REVESTIDOS.
4114.20.10.000,NB01,ESTAMPADOS.
4114.20.20.000,NA01,ESTAMPADOS.
4115.10.00.000,NA01,PLACAS.
4115.10.00.000,NA02,HOJAS.
4115.10.00.000,NA03,BANDAS.
4115.10.00.000,NA04,ENROLLADAS.
4115.10.00.000,NB01,PULIDO.
4115.10.00.000,NC01,ESTAMPADO.
4115.20.00.900,NA01,RECORTES.
4115.20.00.900,NA02,DESPERDICIOS.
4115.20.00.900,NB01,CUERO REGENERADO.
4115.20.00.900,NC01,POLVO.
4115.20.00.900,NC02,ASERRIN.
42,AA,MARCA
42,AI,CODIGO DEL PORDUCTO O ARTICULO
42.02,PA01,CON APLIQUES DE CUERO DE VIBORA.
42.02,PA02,CON APLIQUES DE CUERO DE LAGARTO.
42.02,PA03,CON APLIQUES DE CUERO VACUNO.
42.03,PA01,DE CUERO NATURAL.
42.03,PB03,DE CUERO OVINO.
42.03,PB04,DE CUERO CAPRINO.
42.03,PB05,DE CUERO DE IGUANA.
42.03,PB06,DE CUERO DE VIBORA.
42.03,PB07,DE PECARI.
42.03,PB08,DE CARPINCHO.
42.03,PB09,DE CUERO VACUNO.
4201.00.10.000,NA02,ARREOS.
4201.00.10.000,NA03,BOZALES.
4201.00.10.000,NA04,SUDADERAS.
4201.00.10.000,NA05,MONTURAS PARA SALTO.
4201.00.10.000,NA06,MONTURAS PARA POLO.
4201.00.10.000,NA07,MONTURAS PARA PASEO.
4201.00.10.000,NA08,RIENDAS.
4201.00.10.000,NA09,CABEZADAS.
4201.00.10.000,NB01,DE CUERO NATURAL
4201.00.10.000,NC01,MONTURA FINA.
4201.00.10.000,NC02,MONTURA SEMIFINA.
4201.00.10.000,ND01,CON APLIQUES DE DESCARNE.
4201.00.10.000,NE01,CON ARMAZON DE MADERA.
4201.00.10.000,NF01,CON ESTRIBERO.
4201.00.90.000,NA01,ABRIGOS PARA PERROS.
4201.00.90.000,NA02,ARREOS.
4201.00.90.000,NA03,MATRAS.
4202.11.00.111,NA01,DE CUERO NATURAL.
4202.11.00.111,NA02,DE CUERO AGAMUZADO.
4202.11.00.111,NA03,DE CUERO CHAROLADO.
4202.11.00.111,NB01,DE CUERO VACUNO
4202.11.00.111,NB02,DE CUERO DE CARPINCHO
4202.11.00.111,NB03,DE CUERO DE PECARI
4202.11.00.111,NB04,DE CUERO DE REPTIL
4202.11.00.111,NC01,PLENA FLOR
4202.11.00.111,NC02,DESCARNE
4202.11.00.111,NC03,COMBINADO PLENA FLOR Y DESCARNE
4202.11.00.111,ND01,RIGIDOS
4202.11.00.111,NE01,FORRADOS
4202.11.00.111,NF01,CON RUEDAS
4202.11.00.112,NA01,DE CUERO NATURAL
4202.11.00.112,NA02,DE CUERO AGAMUZADO.
4202.11.00.112,NA03,DE CUERO CHAROLADO.
4202.11.00.112,NB01,DE CUERO VACUNO
4202.11.00.112,NB02,DE CUERO DE CARPINCHO
4202.11.00.112,NB03,DE CUERO DE PECARI
4202.11.00.112,NB04,DE CUERO DE REPTIL
4202.11.00.112,NC01,PLENA FLOR
4202.11.00.112,NC02,DESCARNE
4202.11.00.112,NC03,COMBINADO PLENA FLOR Y DESCARNE
4202.11.00.112,ND01,RIGIDOS
4202.11.00.112,NE01,FORRADOS
4202.11.00.112,NF01,CON RUEDAS
4202.11.00.119,NA01,DE CUERO NATURAL
4202.11.00.119,NA02,DE CUERO AGAMUZADO.
4202.11.00.119,NA03,DE CUERO CHAROLADO.
4202.11.00.119,NB01,DE CUERO VACUNO
4202.11.00.119,NB02,DE CUERO DE CARPINCHO
4202.11.00.119,NB03,DE CUERO DE PECARI
4202.11.00.119,NB04,DE CUERO DE REPTIL
4202.11.00.119,NC01,PLENA FLOR
4202.11.00.119,NC02,DESCARNE
4202.11.00.119,NC03,COMBINADO PLENA FLOR Y DESCARNE
4202.11.00.119,ND01,RIGIDOS
4202.11.00.119,NE01,FORRADOS
4202.11.00.119,NF01,CON RUEDAS
4202.11.00.191,NA01,DE CUERO NATURAL
4202.11.00.191,NA02,DE CUERO AGAMUZADO.
4202.11.00.191,NA03,DE CUERO CHAROLADO.
4202.11.00.191,NB01,DE CUERO VACUNO
4202.11.00.191,NB02,DE CUERO DE CARPINCHO
4202.11.00.191,NB03,DE CUERO DE PECARI
4202.11.00.191,NB04,DE CUERO DE REPTIL
4202.11.00.191,NC01,PLENA FLOR
4202.11.00.191,NC02,DESCARNE
4202.11.00.191,NC03,COMBINADO PLENA FLOR Y DESCARNE
4202.11.00.191,ND01,RIGIDOS
4202.11.00.191,NE01,FORRADOS
4202.11.00.191,NF01,CON RUEDAS
4202.11.00.192,NA01,DE CUERO NATURAL
4202.11.00.192,NA02,DE CUERO AGAMUZADO.
4202.11.00.192,NA03,DE CUERO CHAROLADO.
4202.11.00.192,NB01,DE CUERO VACUNO
4202.11.00.192,NB02,DE CUERO DE CARPINCHO
4202.11.00.192,NB03,DE CUERO DE PECARI
4202.11.00.192,NB04,DE CUERO DE REPTIL
4202.11.00.192,NC01,PLENA FLOR
4202.11.00.192,NC02,DESCARNE
4202.11.00.192,NC03,COMBINADO PLENA FLOR Y DESCARNE
4202.11.00.192,ND01,RIGIDOS
4202.11.00.192,NE01,FORRADOS
4202.11.00.192,NF01,CON RUEDAS
4202.11.00.192,NG01,PRESENTADOS EN SET.
4202.11.00.192,ZA,CANTIDAD DE UNIDADES.
4202.11.00.193,NA01,DE CUERO NATURAL
4202.11.00.193,NA02,DE CUERO AGAMUZADO.
4202.11.00.193,NA03,DE CUERO CHAROLADO.
4202.11.00.193,NB01,DE CUERO VACUNO
4202.11.00.193,NB02,DE CUERO DE CARPINCHO
4202.11.00.193,NB03,DE CUERO DE PECARI
4202.11.00.193,NB04,DE CUERO DE REPTIL
4202.11.00.193,NC01,PLENA FLOR
4202.11.00.193,NC02,DESCARNE
4202.11.00.193,NC03,COMBINADO PLENA FLOR Y DESCARNE
4202.11.00.193,ND01,RIGIDOS
4202.11.00.193,NE01,FORRADOS
4202.11.00.193,NF01,CON RUEDAS
4202.11.00.194,NA01,DE CUERO NATURAL
4202.11.00.194,NA02,DE CUERO AGAMUZADO.
4202.11.00.194,NA03,DE CUERO CHAROLADO.
4202.11.00.194,NB01,DE CUERO VACUNO
4202.11.00.194,NB02,DE CUERO DE CARPINCHO
4202.11.00.194,NB03,DE CUERO DE PECARI
4202.11.00.194,NB04,DE CUERO DE REPTIL
4202.11.00.194,NC01,PLENA FLOR
4202.11.00.194,NC02,DESCARNE
4202.11.00.194,NC03,COMBINADO PLENA FLOR Y DESCARNE
4202.11.00.194,ND01,RIGIDOS
4202.11.00.194,NE01,FORRADOS
4202.11.00.194,NF01,CON RUEDAS
4202.11.00.199,NA01,DE CUERO NATURAL
4202.11.00.199,NA02,DE CUERO AGAMUZADO.
4202.11.00.199,NA03,DE CUERO CHAROLADO.
4202.11.00.199,NB01,DE CUERO VACUNO
4202.11.00.199,NB02,DE CUERO DE CARPINCHO
4202.11.00.199,NB03,DE CUERO DE PECARI
4202.11.00.199,NB04,DE CUERO DE REPTIL
4202.11.00.199,NC01,PLENA FLOR
4202.11.00.199,NC02,DESCARNE
4202.11.00.199,NC03,COMBINADO PLENA FLOR Y DESCARNE
4202.11.00.199,ND01,RIGIDOS
4202.11.00.199,NE01,FORRADOS
4202.11.00.199,NF01,CON RUEDAS
4202.11.00.211,NA01,RIGIDOS
4202.11.00.211,NB01,FORRADOS
4202.11.00.211,NC01,CON RUEDAS
4202.11.00.212,NA01,RIGIDOS
4202.11.00.212,NB01,FORRADOS
4202.11.00.212,NC01,CON RUEDAS
4202.11.00.219,NA01,RIGIDOS
4202.11.00.219,NB01,FORRADOS
4202.11.00.219,NC01,CON RUEDAS
4202.11.00.291,NA01,RIGIDOS
4202.11.00.291,NB01,FORRADOS
4202.11.00.291,NC01,CON RUEDAS
4202.11.00.292,NA01,RIGIDOS
4202.11.00.292,NB01,FORRADOS
4202.11.00.292,NC01,CON RUEDAS
4202.11.00.292,ND01,PRESENTADOS EN SET.
4202.11.00.292,ZA,CANTIDAD DE UNIDADES.
4202.11.00.293,NA01,RIGIDOS
4202.11.00.293,NB01,FORRADOS
4202.11.00.293,NC01,CON RUEDAS
4202.11.00.294,NA01,RIGIDOS
4202.11.00.294,NB01,FORRADOS
4202.11.00.294,NC01,CON RUEDAS
4202.11.00.299,NA01,RIGIDOS
4202.11.00.299,NB01,FORRADOS
4202.11.00.299,NC01,CON RUEDAS
4202.12.10.110,NA01,CON GUARNICIONES DE METALES COMUNES
4202.12.10.110,NB01,CON RUEDAS
4202.12.10.120,NA01,CON GUARNICIONES DE METALES COMUNES
4202.12.10.120,NB01,CON RUEDAS
4202.12.10.190,NA01,CON GUARNICIONES DE METALES COMUNES
4202.12.10.190,NB01,CON RUEDAS
4202.12.10.910,NA01,CON GUARNICIONES DE METALES COMUNES
4202.12.10.910,NB01,CON RUEDAS
4202.12.10.920,NA01,CON GUARNICIONES DE METALES COMUNES
4202.12.10.920,NB01,CON RUEDAS
4202.12.10.920,NC01,PRESENTADOS EN SET.
4202.12.10.920,ND01,PERIMETRO POR CARA SUPERIOR A 90 cm PERO INFERIOR O IGUAL A 120 cm.
4202.12.10.920,ND02,PERIMETRO POR CARA SUPERIOR A 120 cm PERO INFERIOR O IGUAL A 150 cm.
4202.12.10.920,ND03,PERIMETRO POR CARA SUPERIOR A 150 cm PERO INFERIOR O IGUAL A 180 cm.
4202.12.10.920,ND04,PERIMETRO POR CARA SUPERIOR A 180 cm PERO INFERIOR O IGUAL A 330 cm.
4202.12.10.920,NE01,CON BANDEJAS LEVADIZAS.
4202.12.10.920,ZA,CANTIDAD DE UNIDADES.
4202.12.10.930,NA01,CON GUARNICIONES DE METALES COMUNES
4202.12.10.930,NB01,CON RUEDAS
4202.12.10.940,NA01,CON GUARNICIONES DE METALES COMUNES
4202.12.10.940,NB01,CON RUEDAS
4202.12.10.940,NC01,PERIMETRO POR CARA SUPERIOR A 90 cm PERO INFERIOR O IGUAL A 120 cm.
