codigo,descripcion
0000.04.20.000T,"Mercaderias para consumo a bordo y materiales, repuestos e implementos destinados a la reparacion y mantenimiento de aeronaves que cumplan vuelos internacionales. Articulo 516 del Codigo Aduanero. Articulo 70 del Decreto N. 1.001/82 y sus modificatorios. Resolucion Nro. 2.676/79 (ANA)"
0000.04.21.000A,Importacion de mercaderias destinadas a Tiendas Libres. Ley Nro. 22.056. Resolucion Nro. 4.483/82 (ANA).
0000.04.22.000H,"Importacion de aparatos, instrumental y sus repuestos efectuada por Mutuales y Obras Sociales. Ley Nro. 20.321 y sus modificaciones. Articulo 5to., inciso I) de la Ley Nro. 20.545 y sus modificaciones."
0000.04.23.000Q,"Vehiculos de turistas, excluida la Republica Oriental del Uruguay, Estado Plurinacional de Bolivia, Republica de Chile, Republica de Paraguay y la Republica Federativa de Brasil, Resolucion Nro. 308/84 (ANA) y Resoluciones Generales Nros. 2.623 y 3.473 (AFIP)."
0000.04.24.000Y,Material Promocional. Regimen especial para la circulacion entre los Estados Parte del MERCOSUR. Resolucion General Nro. 2.345.
0000.04.25.000F,Importacion para consumo de medicamentos y demas bienes que no se produzcan en el pais y que sean necesarios para el uso personal de las personas con discapacidad a los efectos de su tratamiento y/o proceso de rehabilitacion y/o capacitacion. Resolucion Nro. 1.388/97 (MEyOySP).
0000.04.26.000N,Otros motivos no contemplados.
0000.04.27.000W,"Regimen de exencion total al pago de tributos a las importaciones para consumo realizadas por entes oficiales nacionales, provinciales y municipales, destinadas a la educacion, salud, ciencia y tecnologia. Decreto PEN Nro 732/1972."
0000.04.28.000D,Ingreso de automotores de fabricacion nacional de funcionarios en cumplimiento de mision oficial. Ley 19486.
0000.04.29.000L,"Introduccion de mercaderias destinadas a las fundaciones Konrad Adenauer, Hanns Seidel, Friedrich Naumann y Friedrich Ebert, Decreto 1220/92 y modificatorias."
0000.04.30.000C,Mercaderias destinadas a la Presidencia de la Nacion y Gobernaciones de las Provincias en el marco de la Ley 19107.
0000.04.31.000K,"Equipos frigorificos, accesorios de recambio de los mismos, repuestos y componentes destinados a la reparacion de contenedores. Res. ANA 1281/87."
0000.04.32.000T,"Ley 25613 ""Importacion de insumos destinados a investigaciones cientifico tecnologicas, efectuadas por organismos del Estado y Entidades de Bien Publico."
0000.04.33.000A,"Decreto 2021/71 "" Agencia Federal de Inteligencia. Presidencia de la Nacion."""
0000.04.34.000H,"Res. Conjunta Nro. 2092/06 AFIP y 663/06 MF  ""Importacion de material belico por parte del MINISTERIO DE DEFENSA y los ESTADOS MAYORES GENERALES DE LAS FUERZAS ARMADAS"""
0000.04.35.000Q,Importacion (RG 2940) / Exportacion a consumo de bienes provenientes de herencias.
0000.04.36.100D,"Materiales biologicos, con fines diagnosticos, investigativos, con propositos de participacion en Programas de Control de Calidad Externos y vigilancia epidemiologica realizada por instituciones con responsabilidad en politicas de prevencion y control de enfermedades (excepto importacion de material reproductivo humano)"
0000.04.36.200J,Importacion de material reproductivo humano para fines de diagnostico/fertilidad
0000.04.37.000F,"Bienes, materiales y publicaciones relacionados con los Proyectos acordados en el marco del Acuerdo de Cooperacion Espacial para Usos Pacificos. Ley Nro. 25775"
0000.04.38.000N,Documentacion interna de Companias Aereas.
0000.04.39.100B,"Envases, embalajes, pallets y/o contenedores reutilizables para Operador Economico Autorizado-Regimen Aduana Factoria (OEA-RAF)"
0000.04.39.200G,"Envases, embalajes, pallets, racks y/o contenedores reutilizables por parte de Operador Economico Autorizado (Nivel OEA Seguridad)"
0000.04.40.000M,Instrumentos cientificos o profesionales destinados a ser utilizados por el viajero residente en el pais
0000.04.41.000V,"Importacion y exportacion de bienes y restos que forman parte del Patrimonio Arqueologico y Paleontologico, definidos en el Articulo 2 de la Ley Nro. 25743."
0000.04.42.000C,Regimen de Envios de Asistencia y Salvamento. Art. 581 del Codigo Aduanero. Res.  (ANA) N? 1096/86 y Res. (DGADUA) N? 16/23
0000.04.43.000K,"Exportacion simplificada de diarios, en los terminos del Decreto 857/78."
0000.04.44.000T,"Material cinematografico, incluso films."
0000.04.45.000A,Exportacion de animales domesticos y de compa?ia sin fines comerciales
0000.04.46.000H,"Protocolos medicos aprobados por ANMAT, Kit de laboratorios, envases retornables, equipamientos y medicamentos. Disposicion N? 6677/10 y 969/97."
0000.04.47.000Q,"Importacion a consumo de mercaderias en calidad de muestras para analisis y demas fines investigativos y cientificos,efectuadas por laboratorios habilitados, excluido el material biologico previsto en la Resolucion MS 1789/06."
0000.04.48.100D,Importacion para consumo de vestimenta y accesorios para los habitantes nacionales con residencia permanente en zonas de frontera (R.G.4430).
0000.04.48.200J,Importacion para consumo de calzado para los habitantes nacionales con residencia permanente en zonas de frontera (R.G. 4430)
0000.04.48.300P,"Importacion para consumo de carteras, bolsos, mochilas y continentes similares, para los habitantes nacionales con residencia permanente en zonas de frontera (R.G.4430)"
0000.04.49.000F,"Mercaderias destinadas a la construccion, el establecimiento y la operacion de una estacion de espacio lejano de China en la provincia de Neuquen, Argentina, en el marco del Programa Chino de Exploracion de la Luna. establecido en la Ley Nro. 27123."
0000.04.50.100C,"Importacion de vehiculo automotor VEHICULO. Zona Franca Rio Gallegos. Res. MEyFP N? 31/14, modificatorias y complementarias."
0000.04.50.200H,"Importacion de motovehiculo Zona Franca Rio Gallegos. Res. MEyFP N? 31/14, modificatorias y complementarias"
0000.04.50.300N,"Importacion de vehiculo automotor PICK UP Zona Franca Rio Gallegos. Res. MEyFP N? 31/14, modificatorias y complementarias"
0000.04.51.000E,"Bienes destinados a ser presentados o utilizados en una exposicion, feria, congreso, competencia deportiva o manifestacion similar, pertenecientes a personas residentes en el extranjero, que cuenten con la Declaracion de Interes del evento emitida por la Autoridad Competente a nivel Nacional, Provincial o Municipal. Articulo 31, Apartado 1, Inciso b), Decreto N? 1001/82."
0000.04.52.000M,Bienes destinados a ser utilizados en eventos deportivos internacionales patrocinados por la Secretaria de Deportes de la Nacion.
0000.04.53.000V,"Importacion de bienes que ingresan para la ejecucion de obras en el Complejo Hidroelectrico Salto Grande, efectuadas por la Comision Tecnica Mixta de Salto Grande, sus contratistas, subcontratistas y proveedores. Ley 13.213; Resolucion DGA 18/2022."
0000.04.54.000C,"Ingreso por Correo Oficial de exhortos judiciales consignados al Ministerio de Relaciones Exteriores, Comercio Internacional y Culto en el marco de Convenios de Cooperacion Internacional"
0000.04.55.000K,Caballos de polo y su equipamiento destinados a la participacion en eventos deportivos internacionales. Instruccion General (SDG TLA) N? 1/23.
0000.04.56.000T,Peque?o Envio - Franquicia Decreto PEN N? 1065/24
0000.04.57.000A,Peque?o envio AAE
0000.04.58.000H,Mercaderias a importarse temporalmente por integrantes del Registro Nacional de Certificadoras y Laboratorios de Ensayo y Calibracion (RENACLAB) para ensayos de calibracion
0000.05.01.000T,Removido de mercaderias varias.
0000.05.02.000A,Removido de mudanzas.
0000.05.03.000H,Removido de automotores.
0000.05.04.000Q,Removido de mercaderias realizado por Organismos Estatales y entes oficiales.
0000.05.05.000Y,Peque?o envio AAE
0001.00.00.000U,ANIMALES VIVOS Y PRODUCTOS DEL REINO ANIMAL
0002.00.00.000M,CARNE Y DESPOJOS COMESTIBLES
0003.00.00.000F,"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATICOS"
0004.00.00.000Z,"LECHE Y PRODUCTOS LACTEOS; HUEVOS DE AVE; MIEL  NATURAL; PRODUCTOS COMESTIBLES DE ORIGEN ANIMAL,   NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE"
0005.00.00.000T,LOS DEMAS PRODUCTOS DE ORIGEN ANIMAL NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE
0006.00.00.000L,PLANTAS VIVAS Y PRODUCTOS DE LA FLORICULTURA
00.07,
0007.00.00.000E,"HORTALIZAS, PLANTAS, RAICES Y TUBERCULOS ALIMENTICIOS"
00.08,
0008.00.00.000Y,"FRUTAS Y FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS (CITRICOS), MELONES O SANDIAS"
00.09,
0009.00.00.000R,"CAFE, TE, YERBA MATE Y ESPECIAS"
0010.00.00.000W,CEREALES
0011.00.00.000P,PRODUCTOS DE LA MOLINERIA; MALTA; ALMIDON Y FECULA; INULINA; GLUTEN DE TRIGO
00.12,
0012.00.00.000H,SEMILLAS Y FRUTOS OLEAGINOSOS; SEMILLAS Y FRUTOS DIVERSOS; PLANTAS INDUSTRIALES O MEDICINALES; PAJA Y FORRAJE
0013.00.00.000B,"GOMAS, RESINAS Y DEMAS JUGOS Y EXTRACTOS VEGETALES"
0014.00.00.000V,"MATERIAS TRENZABLES Y DEMAS PRODUCTOS DE ORIGEN VEGETAL, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE"
0015.00.00.000N,GRASAS Y ACEITES ANIMALES O VEGETALES; PRODUCTOS  DE SU DESDOBLAMIENTO; GRASAS ALIMENTICIAS ELABORADAS; CERAS DE ORIGEN ANIMAL O VEGETAL
0016.00.00.000G,"PREPARACIONES DE CARNE, PESCADO O DE CRUSTACEOS, MOLUSCOS O DEMAS INVERTEBRADOS"
0017.00.00.000A,AZUCARES Y ARTICULOS DE CONFITERIA
0018.00.00.000U,CACAO Y SUS PREPARACIONES
0019.00.00.000M,"PREPARACIONES A BASE DE CEREALES, HARINA, ALMIDON, FECULA O LECHE; PRODUCTOS DE PASTELERIA"
0020.00.00.000R,"PREPARACIONES DE HORTALIZAS, FRUTAS U OTROS FRUTOS O DEMAS PARTES DE PLANTAS"
0021.00.00.000K,PREPARACIONES ALIMENTICIAS DIVERSAS
0022.00.00.000D,"BEBIDAS, LIQUIDOS ALCOHOLICOS Y VINAGRE"
0023.00.00.000X,RESIDUOS Y DESPERDICIOS DE LAS INDUSTRIAS ALIMENTARIAS; ALIMENTOS PREPARADOS PARA ANIMALES
0024.00.00.000Q,TABACO Y SUCEDANEOS DEL TABACO ELABORADOS
00.25,
0025.00.00.000J,"SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS"
0026.00.00.000C,"MINERALES METALIFEROS, ESCORIAS Y CENIZAS"
00.27,
0027.00.00.000W,"COMBUSTIBLES MINERALES, ACEITES MINERALES Y PRODUCTOS DE SU DESTILACION; MATERIAS BITUMINOSAS; CERAS MINERALES"
00.28,
