codigo,descripcion
3922.90.00.311M,Tipo mochila
3922.90.00.319E,Las dem?s
3922.90.00.390L,Las dem?s
3922.90.00.900P,Los dem?s
39.23,"ART�CULOS PARA EL TRANSPORTE O ENVASADO, DE PL�STICO; TAPONES, TAPAS, C�PSULAS Y DEM�S DISPOSITIVOS DE CIERRE, DE PL�STICO."
3923.10,"-Cajas, cajones, jaulas y art�culos similares"
3923.10.10.000F,"Estuches de pl?stico, de los tipos utilizados    para acondicionar discos para sistemas de    lectura por rayos l?ser"
3923.10.90,Los dem�s
3923.10.90.1,"Cajas, cajones y art�culos similares"
3923.10.90.110T,De polietileno
3923.10.90.120W,De polipropileno
3923.10.90.130Z,De poli(cloruro de vinilo)
3923.10.90.140C,De pol?meros acr?licos
3923.10.90.190U,Los dem?s
3923.10.90.2,Jaulas y art�culos similares
3923.10.90.210Y,De polipropileno
3923.10.90.290Z,Los dem?s
3923.2,"-Sacos (bolsas), bolsitas y cucuruchos:"
3923.21,--De pol�meros de etileno
3923.21.10,De capacidad inferior o igual a 1.000 cm3
3923.21.10.1,"Impresos, sin soporte o refuerzo"
3923.21.10.11,De polietileno exclusivamente
3923.21.10.111T,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.10.112V,"Con pico vertedor, exclusivamente"
3923.21.10.119K,Los dem?s
3923.21.10.12,"Estratificados con poli(tereftalato de        etileno) exclusivamente, sin metalizar"
3923.21.10.121W,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.10.122Y,"Con pico vertedor, exclusivamente"
3923.21.10.129N,Los dem?s
3923.21.10.13,"Estratificados exclusivamente con        poli(tereftalato de etileno) y policloruro        de vinilideno, sin metalizar"
3923.21.10.131Z,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.10.132B,Con pico vertedor exclusivamente
3923.21.10.139R,Los dem?s
3923.21.10.14,"Estratificados exclusivamente con        poli(tereftalato de etileno), metalizadas"
3923.21.10.141C,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.10.142E,Con pico vertedor exclusivamente
3923.21.10.149V,Los dem?s
3923.21.10.15,"Estratificadas exclusivamente con        poli(tereftalato de etileno) y        polipropileno biaxialmente orientado,        sin metalizar"
3923.21.10.151F,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.10.152H,"Con pico vertedor, exclusivamente"
3923.21.10.159Y,Los dem?s
3923.21.10.16,"Estratificados exclusivamente con        poli(tereftalato de etileno) y        polipropileno biaxialmente orientado,        metalizados"
3923.21.10.161J,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.10.162L,"Con pico vertedor, exclusivamente"
3923.21.10.169B,Los dem?s
3923.21.10.17,Estratificados exclusivamente con        polipropileno biaxialmente orientado
3923.21.10.171M,Metalizados
3923.21.10.179E,Los dem?s
3923.21.10.190R,Los dem?s
3923.21.10.2,"Impresos, con soporte o refuerzo       exclusivamente de papel"
3923.21.10.210W,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.10.220Z,Con pico vertedor exclusivamente
3923.21.10.290X,Los dem?s
3923.21.10.3,"Impresos, con soporte o refuerzo       exclusivamente de aluminio"
3923.21.10.31,Estratificados exclusivamente con        poli(tereftalato de etileno)
3923.21.10.311D,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.10.312F,"Con pico vertedor, exclusivamente"
3923.21.10.319W,Los dem?s
3923.21.10.390C,Los dem?s
3923.21.10.9,Los dem�s
3923.21.10.91,De polietileno exclusivamente
3923.21.10.911L,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.10.912N,"Con pico vertedor, exclusivamente"
3923.21.10.919D,Los dem?s
3923.21.10.92,"Estratificados con poli(tereftalato de        etileno) exclusivamente, sin metalizar, sin        soporte o refuerzo"
3923.21.10.921P,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.10.922R,"Con pico vertedor, exclusivamente"
3923.21.10.929G,Los dem?s
3923.21.10.93,"Estratificados exclusivamente con        poli(tereftalato de etileno) y policloruro        de vinilideno, sin metalizar, sin soporte        o refuerzo"
3923.21.10.931T,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.10.932V,"Con pico vertedor, exclusivamente"
3923.21.10.939K,Los dem?s
3923.21.10.94,"Estratificados con poli(tereftalato de        etileno) exclusivamente, metalizadas,         sin soporte o refuerzo"
3923.21.10.941W,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.10.942Y,"Con pico vertedor, exclusivamente"
3923.21.10.949N,Los dem?s
3923.21.10.95,"Estratificados exclusivamente con        poli(tereftalato de etileno) y        polipropileno biaxialmente orientado, sin        metalizar, sin soporte o refuerzo"
3923.21.10.951Z,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.10.952B,"Con pico vertedor, exclusivamente"
3923.21.10.959R,Los dem?s
3923.21.10.96,"Estratificados exclusivamente con        poli(tereftalato de etileno) y        polipropileno biaxialmente orientado,        metalizados"
3923.21.10.961C,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.10.962E,"Con pico vertedor, exclusivamente"
3923.21.10.969V,Los dem?s
3923.21.10.97,Estratificados exclusivamente con        polipropileno biaxialmente orientado
3923.21.10.971F,Metalizados
3923.21.10.979Y,Los dem?s
3923.21.10.99,Los dem�s
3923.21.10.991M,"Con soporte o refuerzo exclusivamente de        papel, sin metalizar, con dispositivo de        cierre por presi?n exclusivamente"
3923.21.10.992P,"Con soporte o refuerzo exclusivamente de        papel, sin metalizar, con pico vertedor        exclusivamente"
3923.21.10.993R,Estratificados exclusivamente con        poli(tereftalato de etileno) con soporte        o refuerzo exclusivamente de aluminio y        con dispositivo de cierre por presi?n         exclusivamente
3923.21.10.994U,"Estratificados exclusivamente con        poli(tereftalato de etileno), con soporte        o refuerzo exclusivamente de aluminio y        con pico vertedor exclusivamente"
3923.21.10.999E,Los dem?s
3923.21.90,Los dem�s
3923.21.90.1,"Impresos, sin soporte o refuerzo"
3923.21.90.11,"Estratificados con poli(tereftalato de        etileno) exclusivamente, sin metalizar"
3923.21.90.111W,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.90.112Y,"Con pico vertedor, exclusivamente"
3923.21.90.119N,Los dem?s
3923.21.90.12,"Estratificados exclusivamente con        poli(tereftalato de etileno) y policloruro        de vinilideno, sin metalizar"
3923.21.90.121Z,Con dispositivo de cierre por presi?n        exclusivamente
3923.21.90.122B,Con pico vertedor
3923.21.90.129R,Los dem?s
3923.21.90.13,"Estratificados exclusivamente con        poli(tereftalato de etileno), metalizados"
3923.21.90.131C,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.90.132E,Con pico vertedor exclusivamente
3923.21.90.139V,Los dem?s
3923.21.90.14,"Estratificados exclusivamente con        poli(tereftalato de etileno) y        polipropileno biaxialmente orientado,        sin metalizar"
3923.21.90.141F,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.90.142H,"Con pico vertedor, exclusivamente"
3923.21.90.149Y,Los dem?s
3923.21.90.15,"Estratificados exclusivamente con        poli(tereftalato de etileno) y        polipropileno biaxialmente orientado,        metalizados"
3923.21.90.151J,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.90.152L,"Con pico vertedor, exclusivamente"
3923.21.90.159B,Los dem?s
3923.21.90.16,Estratificados exclusivamente con        polipropileno biaxialmente orientado
3923.21.90.161M,Metalizados
3923.21.90.169E,Las dem?s
3923.21.90.190V,Los dem?s
3923.21.90.2,"Impresos, con soporte o refuerzo        exclusivamente de papel"
3923.21.90.210Z,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.90.220C,Con pico vertedor exclusivamente
3923.21.90.290A,Los dem?s
3923.21.90.3,"Impresos, con soporte o refuerzo        exclusivamente de aluminio"
3923.21.90.31,Estratificados exclusivamente con        poli(tereftalato de etileno)
3923.21.90.311G,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.90.312J,"Con pico vertedor, exclusivamente"
3923.21.90.319Z,Los dem?s
3923.21.90.390F,Los dem?s
3923.21.90.9,Los dem�s
3923.21.90.91,De polietileno exclusivamente
3923.21.90.911P,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.90.912R,"Con pico vertedor, exclusivamente"
3923.21.90.919G,Los dem?s
3923.21.90.92,"Estratificadaos con poli(tereftalato de        etileno) exclusivamente, sin metalizar, sin        soporte o refuerzo"
3923.21.90.921T,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.90.922V,"Con pico vertedor, exclusivamente"
3923.21.90.929K,Los dem?s
3923.21.90.93,"Estratificados exclusivamente con         poli(tereftalato de etileno) y policloruro        de vinilideno, sin metalizar sin soporte        o refuerzo"
3923.21.90.931W,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.90.932Y,"Con pico vertedor, exclusivamente"
3923.21.90.939N,Los dem?s
3923.21.90.94,"Estratificados con poli(tereftalato de        etileno) exclusivamente, metalizadas, sin        soporte o refuerzo"
3923.21.90.941Z,"Con dispositivo de cierre por presi?n,         exclusivamente"
3923.21.90.942B,"Con pico vertedor, exclusivamente"
3923.21.90.949R,Los dem?s
3923.21.90.95,"Estratificados exclusivamente con         poli(tereftalato de etileno) y        polipropileno biaxialmente orientado,        sin metalizar, sin soporte o refuerzo"
3923.21.90.951C,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.90.952E,"Con pico vertedor, exclusivamente"
3923.21.90.959V,Los dem?s
3923.21.90.96,"Estratificados exclusivamente con        poli(tereftalato de etileno) y        polipropileno biaxialmente orientado,        metalizadas"
3923.21.90.961F,"Con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.90.962H,"Con pico vertedor, exclusivamente"
3923.21.90.969Y,Los dem?s
3923.21.90.97,Estratificados exclusivamente con         polipropileno biaxialmente orientado
3923.21.90.971J,Metalizadas
3923.21.90.979B,Los dem?s
3923.21.90.99,Los dem�s
3923.21.90.991Q,"Con soporte o refuerzo exclusivamente        de papel, sin metalizar, con dispositivo        de cierre por presi?n exclusivamente"
3923.21.90.992T,"Con soporte o refuerzo exclusivamente        de papel, sin metalizar, con pico vertedor        exclusivamente"
3923.21.90.993V,"Estratificados exclusivamente con        poli(tereftalato de etileno), con soporte        o refuerzo exclusivamente de aluminio y        con dispositivo de cierre por presi?n,        exclusivamente"
3923.21.90.994X,"Estratificados exclusivamente con        poli(tereftalato de etileno), con soporte        o refuerzo exclusivamente de aluminio y        con pico vertedor exclusivamente"
3923.21.90.999H,Los dem?s
3923.29,--De los dem�s pl�sticos
3923.29.10.000C,De capacidad inferior o igual a 1.000 cm3
3923.29.90.000F,Los dem?s
3923.30,"-Bombonas (damajuanas), botellas, frascos y  art?culos similares"
3923.30.10.000J,Recipientes para gas licuado de petroleo (GLP)
3923.30.90,Los demas
3923.30.90.1,"Tubo plastico transparente o no, cerrado en un extremo y provisto de rosca exterior en la otra extremidad (preforma), apto para la fabricacion de botellas por soplado"
3923.30.90.110W,De peso inferior o igual a 20 g
3923.30.90.120Z,De peso superior a 20 g pero inferior o        igual a 30 g
3923.30.90.130C,De peso superior a 30 g pero inferior o        igual a 42 g
3923.30.90.140F,De peso superior a 42 g pero inferior o        igual a 60 g
3923.30.90.190X,Los dem?s
3923.30.90.2,"Tubo plastico transparente o no, cerrado en un extremo y desprovisto de rosca exterior en la otra extremidad (preforma), apto para la fabricacion de botellas por soplado"
3923.30.90.210B,De peso inferior a 20 g
3923.30.90.220E,De peso superior a 20 g pero inferior o        igual a 30 g
3923.30.90.230H,De peso superior a 30 g pero inferior o        igual a 42 g
3923.30.90.240L,De peso superior a 42 g pero inferior o        igual a 60 g
3923.30.90.290C,Los dem?s
3923.30.90.3,Botellas de poli(tereftalato de etileno)
3923.30.90.310G,De capacidad inferior a 250 ml
3923.30.90.320K,De capacidad superior o igual a 250 ml         pero inferior a 2 l
3923.30.90.330N,De capacidad superior o igual a 2 l pero        inferior o igual a 6 l
3923.30.90.390H,Los dem?s
3923.30.90.4,Frascos de politereftalato
3923.30.90.410M,De capacidad inferior a 150 ml
3923.30.90.420Q,De capacidad superior o igual a 150 ml          pero inferior a 300 ml
3923.30.90.430U,De capacidad superior o igual a 300 ml          pero inferior a 2 l
3923.30.90.490N,Los dem?s
3923.30.90.6,Los dem?s art?culos de polietileno de       alta densidad
3923.30.90.610Y,De capacidad inferior a 5 l
3923.30.90.620B,De capacidad superior o igual a 5 l          pero inferior a 12 l
3923.30.90.630E,De capacidad superior o igual a 12 l          pero inferior a 22 l
3923.30.90.640H,De capacidad superior o igual a 22 l          pero inferior a 32 l
3923.30.90.690Z,los dem?s
3923.30.90.9,Los dem?s
3923.30.90.910P,De polietileno
3923.30.90.920T,De polipropileno
3923.30.90.930W,De poli(cloruro de vinilo)
3923.30.90.940Z,De poliesteres
3923.30.90.950C,De poliestireno
3923.30.90.960F,De poliamidas
3923.30.90.970J,De polimeros acrilicos
3923.30.90.990Q,Los demas
3923.40.00.000N,"-Bobinas, carretes, canillas y soportes  similares"
3923.50.00,"-Tapones, tapas, c�psulas y dem�s dispositivos de  cierre"
3923.50.00.1,Tapas
3923.50.00.110L,De polietileno
3923.50.00.120P,De polipropileno
3923.50.00.130T,De poli(cloruro de vinilo)
3923.50.00.140W,De poliesteres
3923.50.00.150Z,De poliestireno
3923.50.00.160C,De poliamidas
3923.50.00.170F,De polimeros acrilicos
3923.50.00.190M,Los dem?s
3923.50.00.9,Los dem�s
3923.50.00.91,De polietileno
3923.50.00.911G,Tapones de los tipos utilizados en botellas        de vino
3923.50.00.919Z,Los demas
3923.50.00.920H,De polipropileno
3923.50.00.930L,De poli(cloruro de vinilo)
3923.50.00.940P,De poliesteres
3923.50.00.950T,De poliestireno
3923.50.00.960W,De poliamidas
3923.50.00.970Z,De polimeros acrilicos
3923.50.00.990F,Los demas
3923.90,-Los dem?s
3923.90.10.000U,"Paletas, paletas caja y demas plataformas para carga; collarines para paletas"
3923.90.90,Los demas
3923.90.90.1,Bandejas termoformadas de un solo uso de los tipos utilizados en el envasado de productos alimenticios.
3923.90.90.110F,De polipropileno
3923.90.90.12,De polimeros de estireno
3923.90.90.121L,De poliestireno de alto impacto
3923.90.90.123Q,De poliestireno biaxialmente orientado
3923.90.90.127Z,De poliestireno espumado
3923.90.90.128B,De poliestireno expandido
3923.90.90.129D,Los dem?s
3923.90.90.130M,De poli(cloruro de vinilo)
3923.90.90.190G,Los dem?s
3923.90.90.2,"Bandejas termoformadas de un solo uso,       con cavidades apropiadas de los tipos       utilizados en el embalaje de medicamentos o       cosmeticos"
3923.90.90.210L,De polipropileno
3923.90.90.22,De pol?meros de estireno
3923.90.90.221R,De poliestireno de alto impacto
3923.90.90.222U,De poliestireno expandido
3923.90.90.223W,De poliestireno biaxialmente orientado
3923.90.90.229J,Los dem?s
3923.90.90.230T,De poli(cloruro de vinilo)
3923.90.90.290M,Los dem?s
3923.90.90.9,Los dem?s
3923.90.90.91,"Tambores de polietileno de alta densidad,        con hasta dos bocas"
3923.90.90.911B,De capacidad inferior a 150 l
3923.90.90.912D,De capacidad superior o igual a 150 l pero        inferior a 250 l
3923.90.90.913F,De capacidad superior o igual a 250 l pero        inferior a 500 l
3923.90.90.919U,Los dem?s
3923.90.90.92,Potes termoformados de un solo uso
3923.90.90.921E,De polietileno
3923.90.90.922G,De polipropileno
3923.90.90.923J,De poli(cloruro de vinilo)
3923.90.90.924L,De poliesteres
3923.90.90.925N,De poliestireno
3923.90.90.926Q,De poliamidas
3923.90.90.927T,De pol?meros acr?licos
3923.90.90.929X,Los dem?s
3923.90.90.930F,"Recipientes para gas natural comprimido con valvula incorporada constituidos por un cilindro de plastico con casquete de aluminio soldados, reforzados externamente con filamentos de fibra de carbono recubiertos con una capa de resina epoxi de los tipos utilizados en vehiculos automoviles"
3923.90.90.990A,Los dem?s
39.24,"VAJILLA, ART�CULOS DE COCINA O DE USO DOMESTICO Y ART�CULOS DE HIGIENE O TOCADOR, DE PL�STICO."
3924.10.00,-Vajilla y dem�s art�culos para el servicio de  mesa o de cocina
3924.10.00.1,Cubiertos
3924.10.00.110Y,Destinados a ser llevados a la boca por        ni?os menores de tres a?os
3924.10.00.190Z,Los dem?s
3924.10.00.2,Platos
3924.10.00.21,De un solo uso
3924.10.00.211F,De polipropileno
3924.10.00.212H,De poliestireno de alto impacto
3924.10.00.213K,De poliestireno expandido
3924.10.00.214M,De poliestireno biaxialmente orientado
3924.10.00.215P,De poli(tereftalato de etileno)
3924.10.00.216R,De poli(cloruro de vinilo)
3924.10.00.219Y,Los dem?s
3924.10.00.290E,Los dem?s
3924.10.00.3,Tazas
3924.10.00.310J,Destinados a ser llevados a la boca por        ni?os menores de tres a?os
3924.10.00.390K,Los dem?s
3924.10.00.4,Vasos
3924.10.00.41,De un solo uso
3924.10.00.411R,De polipropileno
3924.10.00.412U,De poliestireno de alto impacto
3924.10.00.413W,De poliestireno expandido
3924.10.00.414Y,De poliestireno biaxialmente orientado
3924.10.00.415A,De poli(tereftalato de etileno)
3924.10.00.416C,De poli(cloruro de vinilo)
3924.10.00.419J,Los dem?s
3924.10.00.49,Los dem�s
3924.10.00.491T,Destinados a ser llevados a la boca por        ni?os menores de tres a?os
3924.10.00.499K,Los dem?s
3924.10.00.5,"Fuentes, bandejas y art�culos similares"
3924.10.00.510V,Aptos para estar en contacto con alimentos
3924.10.00.590W,Los dem?s
3924.10.00.600X,Cajas para alimentos
3924.10.00.700C,Art?culos de manteleria
3924.10.00.800H,Juegos de te o cafe
3924.10.00.9,Los dem�s
3924.10.00.91,Biberones
3924.10.00.911U,Presentados con su correspondiente tetina
3924.10.00.919L,Los demas
3924.10.00.920V,"Los dem?s, aptos para estar en contacto con        alimentos"
3924.10.00.990T,Los dem?s
3924.90.00,-Los dem�s
3924.90.00.100H,Jaboneras
3924.90.00.200N,Portacepillos
3924.90.00.3,Esponjas
3924.90.00.310X,Presentadas en juegos o surtidos con        preparaciones para el lavado de la piel
3924.90.00.390Y,Las dem?s
3924.90.00.400Z,Cubos (incluidos los de basura) y       palanganas
3924.90.00.500E,Portarrollos
3924.90.00.600K,Toalleros
3924.90.00.700Q,Cortinas de ba?o
3924.90.00.800W,Tetinas
3924.90.00.900B,Los dem?s
39.25,"ART�CULOS PARA LA CONSTRUCCI�N, DE PL�STICO, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE."
3925.10.00.000H,"-Dep?sitos, cisternas, cubas y recipientes  an?logos, de capacidad superior a 300 l"
3925.20.00.000X,"-Puertas, ventanas, y sus marcos, contramarcos y  umbrales"
3925.30.00,"-Contraventanas, persianas (incluidas las  venecianas) y art�culos similares, y sus partes"
3925.30.00.100R,"Cortina enrollable con su correspondiente       bastidor, sobre el cual se encuentra       montado en forma permanente un dispositivo       de elevaci?n con su motor de accionamiento"
3925.30.00.900K,Los dem?s
3925.90,-Los dem�s
3925.90.10.000F,De poliestireno expandido (EPS)
3925.90.90,Los dem�s
3925.90.90.100P,Art?culos para guarnecer los cuartos de       ba?o o de tocador
3925.90.90.200V,Art?culos para guarnecer las cocinas
3925.90.90.9,Los dem�s
3925.90.90.91,Elementos estructurales constituidos por        placas de policarbonato alveolar        especialmente dise�adas para la        construcci�n de paredes o techos
3925.90.90.911N,De espesor superior o igual a 3mm pero             inferior o igual a 6mm
3925.90.90.912Q,De espesor superior a 6mm pero                    inferior o igual a 8mm
3925.90.90.913T,De espesor superior a 8mm pero                 inferior o igual a 10mm
3925.90.90.914V,De espesor superior a 10mm pero                 inferior o igual a  12mm
3925.90.90.915X,De espesor superior a 12mm pero                 inferior o igual a  16mm
3925.90.90.916Z,De espesor superior a 16mm pero                    inferior o igual a  18mm
3925.90.90.917B,De espesor superior a 18mm pero a                  inferior o igual a  20mm
3925.90.90.918D,De espesor superior a 20mm pero                 inferior o igual a  25mm
3925.90.90.919F,Los dem?s
3925.90.90.990M,Los dem?s
39.26,LAS DEM�S MANUFACTURAS DE PL�STICO Y MANUFACTURAS DE LAS DEM�S MATERIAS DE LAS PARTIDAS 39.01 A 39.14.
3926.10.00,-Art�culos para oficina y art�culos escolares
3926.10.00.100G,Gomas de borrar
3926.10.00.200M,Productos alcanzados por la Res. 163/2005          SCT
3926.10.00.900A,Los dem?s
3926.20.00,"-Prendas y complementos (accesorios), de vestir,  incluidos los guantes, mitones y manoplas"
3926.20.00.1,Unicamente para uso m�dico (R.G.30/97 AFIP)
3926.20.00.11,Guantes
3926.20.00.111B,"Esteriles, envasados para su venta directa        al usuario final"
3926.20.00.112D,"No esteriles, envasados para su venta        directa al usuario final"
3926.20.00.119U,Los dem?s
3926.20.00.190A,Los dem?s
3926.20.00.2,Las dem�s prendas y complementos       (accesorios) de vestir
3926.20.00.21,Guantes
3926.20.00.211G,Aptos para estar en contacto con alimentos
3926.20.00.219Z,Los dem?s
3926.20.00.220H,Impermeables
3926.20.00.230L,Delantales
3926.20.00.240P,Baberos
3926.20.00.290F,Los dem?s
3926.30.00,"-Guarniciones para muebles, carrocer�as o  similares"
3926.30.00.100K,"Manijas,tiradores y patas, de los tipos       utilizados en muebles"
3926.30.00.900D,Las dem?s
3926.40.00,-Estatuillas y dem�s art�culos de adorno
3926.40.00.100Z,Porta macetas
3926.40.00.200E,Porta retratos
3926.40.00.900T,Las dem?s
3926.90,-Las dem�s
3926.90.10.000Z,Arandelas
3926.90.2,Correas para transmisi�n y correas    transportadoras
3926.90.21.000R,Para transmisi?n
3926.90.22.000Z,Transportadoras
3926.90.30.000U,Bolsas para uso en medicina (hemodi?lisis y    usos similares)
3926.90.40,Art�culos de laboratorio o farmacia
3926.90.40.1,Art�culos de puericultura
3926.90.40.110M,Tetinas
3926.90.40.190N,Los dem?s
3926.90.40.200P,Aplicadores de uso vaginal (R.G.30/97 AFIP)
3926.90.40.300V,Copa menstrual
3926.90.40.900C,Los demas
3926.90.50.000N,"Accesorios de los tipos utilizados en l?neas de    sangre para hemodi?lisis, tales como:    obturadores, incluidos los regulables (clamps),    clipes y similares"
3926.90.6,"Anillos de secci�n transversal circular    (""O-rings"")"
3926.90.61,De tetrafluoroetileno y �ter     perfluorometilvinilo
3926.90.61.100L,De los tipos utilizados en veh?culos       autom?viles
3926.90.61.900E,Los dem?s
3926.90.69,Los dem�s
3926.90.69.100X,De los tipos utilizados en veh?culos       autom?viles
3926.90.69.900Q,Los dem?s
3926.90.90,Las dem�s
3926.90.90.100H,Manufacturas de poliamidas aromaticas a prueba de balas (R.3115/94 ANA)
3926.90.90.2,Accesorios de uso general
3926.90.90.210R,Tornillos
3926.90.90.220V,Pernos
3926.90.90.230Y,Ruedas que cumplan con la Nota 2 del Capitulo 83
3926.90.90.290T,Los demas
3926.90.90.300U,Estuches o cajas para herramientas
3926.90.90.400Z,Mangos de herramientas o de cubiertos de       mesa
3926.90.90.5,"Recipientes de pl�stico moldeado, de los       tipos utilizados como neveras"
3926.90.90.510H,"De polietileno y polipropileno, de        capacidad inferior o igual a 28 l"
3926.90.90.520L,"De poliestireno de alto impacto, de        capacidad superior a 28 l"
3926.90.90.590J,Los dem?s
3926.90.90.600K,Bolsas y continentes similares de los tipos       utilizados para nutrici?n enteral o       parenteral (R.G.30/97AFIP)
3926.90.90.7,"Dispensadores de los tipos utilizados para       golosinas, incluso presentados con estas"
3926.90.90.71,Presentados con golosinas
3926.90.90.711W,Productos alcanzados por la Res. 163/2005          SCT
3926.90.90.719N,Los dem?s
3926.90.90.79,Los dem�s
3926.90.90.791X,Productos alcanzados por la Res. 163/2005          SCT
3926.90.90.799P,Los dem?s
3926.90.90.800W,Cadenas de los tipos utilizados para colgar chupetes
3926.90.90.9,Las dem�s
3926.90.90.91,De lo tipos utilizados en vehiculos automoviles
3926.90.90.911G,Juntas o empaquetaduras
3926.90.90.912J,Tapa de distribucion de motores de vehiculos automoviles
3926.90.90.919Z,Las demas
3926.90.90.92,Elementos de se�alizaci�n de los tipos utilizados en seguridad vial
3926.90.90.921K,Placas reflectantes de forma triangular
3926.90.90.922M,Conos
3926.90.90.923P,Cadenas
3926.90.90.929C,Los dem?s
3926.90.90.930L,Terminal de cord?n para prendas de vestir
3926.90.90.940P,"Caravana, de los tipos utilizados para la          identificaci?n de animales."
3926.90.90.95,"Red extru�da de polietileno o polipropileno        presentada en rollos de anchura superior o        igual a 0,5 m pero inferior o igual a 2,0        m."
3926.90.90.951V,De polietileno
3926.90.90.952X,De polipropileno
3926.90.90.960W,"Placas, l?minas, hojas y tiras de poli (metacrilato de metilo) exclusivamente, no celular, sin metalizar; cuadradas o rectangulares con los vertices ligeramente redondeados, incluso combinados con pl?stico bordeando todo su per?metro, de espesor superior o igual a DOS MIL?METROS(2 mm) pero inferior o igual a DOSCIENTOS MIL?METROS (200 mm) presentadas con o  sin l?minas descartables de protecci?n en una o en ambas caras"
3926.90.90.970Z,Contenedores para residuos de capacidad superior o igual a 500 litros
3926.90.90.99,Las dem�s
3926.90.90.991H,Juntas o empaquetaduras
3926.90.90.992K,Productos alcanzados por la Res. 163/2005          SCT
3926.90.90.993M,Aptas para estar en contacto con alimentos
3926.90.90.999A,Las dem?s
40.01,"CAUCHO NATURAL, BALATA, GUTAPERCHA, GUAYULE, CHICLE Y GOMAS NATURALES AN�LOGAS, EN FORMAS PRIMARIAS O EN PLACAS, HOJAS O TIRAS."
4001.10.00.000T,"-L?tex de caucho natural, incluso prevulcanizado"
4001.2,-Caucho natural en otras formas:
4001.21.00.000U,--Hojas ahumadas
4001.22.00.000F,--Cauchos tecnicamente especificados (TSNR)
4001.29,--Los dem�s
4001.29.10.000Z,Crepe
4001.29.20.000J,Granulado o prensado
4001.29.90,Los dem�s
4001.29.90.100H,En hojas
4001.29.90.200N,"En polvo o en migas, sin reaglomerar"
4001.29.90.900B,Los dem?s
4001.30.00,"-Balata, gutapercha, guayule, chicle y gomas  naturales an�logas"
4001.30.00.100B,Balata
4001.30.00.200G,Gutapercha
4001.30.00.900V,Los dem?s
40.02,"CAUCHO SINTETICO Y CAUCHO FACTICIO DERIVADO DE LOS ACEITES, EN FORMAS PRIMARIAS O EN PLACAS, HOJAS O TIRAS; MEZCLAS DE PRODUCTOS DE LA PARTIDA 40.01 CON LOS DE ESTA PARTIDA, EN FORMAS PRIMARIAS O EN PLACAS, HOJAS O TIRAS."
4002.1,-Caucho estireno-butadieno (SBR);caucho estireno-  butadieno carboxilado (XSBR):
4002.11,--L�tex
4002.11.10.000H,De estireno-butadieno (SBR)
4002.11.20.000T,De estireno-butadieno carboxilado (XSBR)
4002.19,--Los dem�s
4002.19.1,Estireno-butadieno (SBR)
4002.19.11.000L,"En placas, hojas o tiras"
4002.19.12.000U,"Grado alimenticio de acuerdo con lo     establecido por el ?Food Chemical Codex?, en     formas primarias"
4002.19.19,Los dem�s
4002.19.19.100C,"Obtenido por polimerizacion en emulsion, con un contenido de estireno superior o igual a 21 % pero inferior o igual a 26 % en peso"
4002.19.19.200H,"Obtenido por polimerizacion en emulsion, con un contenido de estireno superior o igual a 37 % pero inferior o igual a 43 % en peso"
4002.19.19.900W,Los dem?s
4002.19.20,Estireno-butadieno carboxilado (XSBR)
4002.19.20.100U,En las formas previstas en la Nota 3 b) de       este Cap?tulo
4002.19.20.200Z,En las formas prevista en la Nota 3 a) de       este Cap?tulo
4002.19.20.900M,Los dem?s
4002.20,-Caucho butadieno (BR)
4002.20.10.000K,Aceite
4002.20.9,Los demas
4002.20.91,"1,2-Polibutadieno sindiotactico"
4002.20.91.100B,En las formas previstas en la Nota 3 de este Capitulo
4002.20.91.200G,"En placas, hojas o tiras"
4002.20.99,Los demas
4002.20.99.100M,En las formas previstas en la Nota 3 de este Capitulo
4002.20.99.200T,"En placas, hojas o tiras"
4002.3,-Caucho isobuteno-isopreno (butilo)(IIR); caucho  isobuteno-isopreno halogenado (CIIR o BIIR):
